english,japanese
supplier,納入業者
impress,感心させる
warehouse,倉庫
invitation,招待状
cafeteria,社員食堂
landscaping,造園
finalize,取りまとめる
commission,委託する
trim,刈り揃える
lid,フタ
stool,スツール(背もたれのない椅子)
crosswalk,横断歩道
"be propped up against",〜に立てかけられる
auditorium,講堂
railing,手すり
"potted plant",鉢植え
browse,(特に買う気もなく店内を)見て回る
mow,刈る
dock,埠頭
curb,縁石
slanted,傾斜した
courtyard,中庭
cookware,調理器具
awning,日よけ
patio,テラス
crate,木箱
utensil,調理器具
station,配置する
"window pane",窓ガラス
lamppost,街灯柱
wheelbarrow,一輪車
"vacuum cleaner",掃除機
(light)bulb,電球
scale,秤（はかり）
light fixture,照明器具
stationery,文房具
stapler,ホッチキス
"plastic bag",ビニール袋
sunscreen,日焼け止め
folding chair,折りたたみ式の椅子
"cardboard box",ダンボール箱
rug,（部分）じゅうたん
scarf,マフラー・スカーフ
drape,厚手のカーテン
photocopier,コピー機
rechargeable battery,充電池
briefcase,書類かばん
revolving door,回転ドア
freight elevator,貨物用エレベーター
treadmill,ランニングマシン
